company_name,job_title,job_type,Department,Location,Posted_Time,Salary_range
Work Evolve Limited,Electric Vehicle Technician,Engineering & Technology,Engineering & Technology,Lagos,1 month ,"NGN 250,000 - 400,000"
Sunrose Consulting Lmited,Clinical Psychologists,Medical & Pharmaceutical,Medical & Pharmaceutical,Lagos,1 month ,"NGN 400,000 - 600,000"
Work Evolve Limited,Technical Support Engineer,Engineering & Technology,Engineering & Technology,Lagos,1 month ,"NGN 250,000 - 400,000"
Beauty Routine Cosmetics & Embellishments Ltd.,Area Sales Manager,Sales,Sales,Lagos,1 month ,"NGN 150,000 - 250,000"
INFINION Technologies,Data Engineer,Engineering & Technology,Engineering & Technology,Lagos,1 month ,"NGN 250,000 - 400,000"
Work Evolve Limited,Fleet Supervisor,Driver & Transport Services,Driver & Transport Services,Lagos,1 month ,"NGN 250,000 - 400,000"
Body Refinement,Front-Desk Manager,Customer Service & Support,Customer Service & Support,Lagos,1 month ,"NGN 70,000 - 150,000"
Generation Capital Limited,Business Development Officer,Management & Business Development,Management & Business Development,Port Harcourt & Rivers State,1 month ,"NGN 150,000 - 250,000"
Arwa Schools,Hausa Teacher,"Research, Teaching & Training","Research, Teaching & Training",Abuja,1 month ,"NGN 70,000 - 150,000"
Intecil,Sales Manager,Sales,Sales,Lagos,1 month ,"NGN 70,000 - 150,000"
Yo Digital And Brand Solutions Ltd,Customer Service Officer,Customer Service & Support,Customer Service & Support,Lagos,1 month ,"NGN 70,000 - 150,000"
Jegzi,Graphic Designer (Art- Directed AI Visuals & Motion Stills),Marketing & Communications,Marketing & Communications,Remote (Work From Home),1 month ,"NGN 70,000 - 150,000"
E-direct,Project Management Assistant,Hospitality & Leisure,Hospitality & Leisure,Lagos,1 month ,"NGN 70,000 - 150,000"
Zino aviation,Sales Intern,Sales,Sales,Lagos,1 month ,"NGN 70,000 - 150,000"
Pem Security Services,Patrol Supervisor,Management & Business Development,Management & Business Development,Lagos,1 month ,"NGN 70,000 - 150,000"
Whip-Smart Service Providers Limited,Front Desk Officer,Hospitality & Leisure,Hospitality & Leisure,Lagos,1 month ,"NGN 70,000 - 150,000"
Jomivic Travel,Account Executive,"Accounting, Auditing & Finance","Accounting, Auditing & Finance",Lagos,1 month ,"NGN 150,000 - 250,000"
Biokeft Pharmaceutical Limited,Medical Sales Representative,Medical & Pharmaceutical,Medical & Pharmaceutical,Abuja,1 month ,"NGN 150,000 - 250,000"
MEG Consults,Housekeeping,Hospitality & Leisure,Hospitality & Leisure,Abuja,1 month ,"NGN 70,000 - 150,000"
